,Name,Type,Focus,Warmup?,Cooldown?,Genre,Instrument,Teacher,Description,Directions,Remember,Minimum Time,BPM Range,Video Link
,Full Strokes,Speed & Agility,Hand Speed,Y,N,N/A,Practice Pad,N/A,"The objective is to throw the stick with effort and allow the stick to rebound back to its original position. 

Make sure your wrist is returning to its original position before the stick does, otherwise it will get in the way of the stick’s natural rebound. ","1. 1 full stroke with right hand (RH), followed by 1 full stroke with left hand (LH). Repeat 16x, creating constant eighth notes.
2. 2 full strokes RH, 2 full strokes LH. Repeat 8x
3. 3 full strokes RH, 3 full strokes LH. Repeat 8x
4. 4 full strokes RH, 4 full strokes LH. Repeat 8x
5. 5 full strokes RH, 5 full strokes LH. Repeat 8x
6. 6 full strokes RH, 6 full strokes LH. Repeat 8x
7. Increase tempo by 5 bmp and repeat","1. Go slow!
2. Strive for an even sound between both hands. 
3. If the stick falls out of your hand, that's okay. It means you are not gripping the stick too hard.",5 min,80 - 100,https://youtu.be/UBVkgoSpqv0
,Down Strokes,Speed & Agility,Hand Speed,Y,N,N/A,Practice Pad,N/A,The objective is to throw the stick with effort and only allow the stick to rebound at a height that is lower than the starting position. This stroke goes from high to low.,"1. 4 full strokes (eighth notes) followed by 1 downstroke (quarter note) x8
2. 2 full strokes followed by 1 downstroke
3. 1 full stroke followed by 1 downstroke",Aim to keep the sound of your down strokes as close as possible to the sound of your full strokes. Stay relaxed.,5 min,80 - 120,https://youtu.be/a70KmT1kXgE
,Taps & Up Strokes,Speed & Agility,Hand Speed,Y,N,N/A,Practice Pad,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt.",5 min,80 - 120,
,"Stone ""killer"" pt 1 - Hands",Speed & Agility,Hand Speed,Y,N,N/A,Practice Pad,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt.",5 min,80 - 120,https://youtu.be/ktqVdCru-VM
,"Stone ""killer"" pt 2 - Hands",Speed & Agility,Hand Speed,Y,N,N/A,Practice Pad,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt.",5 min,80 - 120,
,Foot Triplets,Speed & Agility,Foot Speed,Y,N,N/A,Drum Set,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt.",5 min,60 - 100,https://youtu.be/OSOC2ODNg-U?si=oYFDU4eIXun5mSyW&t=174
,"Stone ""killer"" pt 1 - Feet",Speed & Agility,Foot Speed,Y,N,N/A,Drum Set,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt.",5 min,50 - 80,
,"Stone ""killer"" pt 2 - Feet",Speed & Agility,Foot Speed,Y,N,N/A,Drum Set,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt.",5 min,50 - 80,
,Double Stroke Roll,Speed & Agility,Rudiments,Y,N,N/A,Snare Drum,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt.",5 min,60 -100,https://youtu.be/UL8WSdyAGgs
,Single Stroke Roll,Speed & Agility,Rudiments,Y,N,N/A,Snare Drum,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.","Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.","Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt.",5 min,60 - 100,https://youtu.be/98zaTHDdB9s
